"name","id","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second"
"Durham North","E14000840",20.9,3.1,54.9,5.1,0,0,16,"Labour","Conservative"
"Durham North West","E14000856",23.4,3.7,46.9,9.1,0,0,17,"Labour","Conservative"
"Dwyfor Meirionnydd","W07000061",22.7,3.4,13.5,4,40.9,0,10.8,"Plaid Cymru","Conservative"
"Ealing Central & Acton","E14000674",42.7,3.6,43.2,6.1,0,0,3.8,"Labour","Conservative"
"Ealing North","E14000675",29.7,3.4,55.1,3.2,0,0,8.1,"Labour","Conservative"
"Ealing Southall","E14000676",21.7,4.6,65,3.6,0,0,4.1,"Labour","Conservative"
"Easington","E14000677",12.9,2.1,61,2.4,0,0,18.7,"Labour","UKIP"
"Eastbourne","E14000684",39.6,2.6,7.8,38.2,0,0,11.6,"Conservative","Liberal Democrat"
"East Ham","E14000679",12.1,2.5,77.6,1.6,0,0,5,"Labour","Conservative"
"East Kilbride, Strathaven & Lesmahagow","S14000019",11.8,0,28.3,1.7,0,55.6,2,"Scottish National Party","Labour"
"Eastleigh","E14000685",42.3,2.7,12.9,25.8,0,0,15.8,"Conservative","Liberal Democrat"
"East Lothian","S14000020",19.5,2.1,31,2.6,0,42.5,2,"Scottish National Party","Labour"
"Eddisbury","E14000686",51,3.4,23.6,9.1,0,0,12.2,"Conservative","Labour"
"Edinburgh East","S14000022",9.9,6,29.9,2.8,0,49.2,1.9,"Scottish National Party","Labour"
"Edinburgh North & Leith","S14000023",16.2,5.4,31.3,4.5,0,40.9,1.5,"Scottish National Party","Labour"
"Edinburgh South","S14000024",17.5,4.2,39.1,3.7,0,33.8,1.2,"Labour","Scottish National Party"
"Edinburgh South West","S14000025",20.2,3.8,27.2,3.7,0,43,2.1,"Scottish National Party","Labour"
"Edinburgh West","S14000026",12.3,2.1,11.7,33.1,0,39,1.9,"Scottish National Party","Liberal Democrat"
"Edmonton","E14000687",24.1,3.3,61.4,2.2,0,0,8.1,"Labour","Conservative"
"Ellesmere Port & Neston","E14000688",34.3,2.1,47.8,3.3,0,0,12,"Labour","Conservative"
"Elmet & Rothwell","E14000689",48.4,2.2,33.7,4.6,0,0,11.1,"Conservative","Labour"
"Eltham","E14000690",36.4,3,42.6,3,0,0,15,"Labour","Conservative"
"Enfield North","E14000691",41.4,2.8,43.7,2.3,0,0,9,"Labour","Conservative"
"Enfield Southgate","E14000692",49.4,3.7,39,3.3,0,0,4.6,"Conservative","Labour"
"Epping Forest","E14000693",54.8,3.6,16.1,7,0,0,18.3,"Conservative","UKIP"
"Epsom & Ewell","E14000694",58.3,3.7,15.5,8.8,0,0,12.5,"Conservative","Labour"
"Erewash","E14000695",42.7,2.5,35.3,3.4,0,0,16.1,"Conservative","Labour"
"Erith & Thamesmead","E14000696",27.4,2.2,49.8,2.3,0,0,17.3,"Labour","Conservative"
"Esher & Walton","E14000697",62.9,4.1,12.7,9.4,0,0,9.7,"Conservative","Labour"
"Exeter","E14000698",33.1,6.5,46.4,4.3,0,0,9.4,"Labour","Conservative"
"Falkirk","S14000028",12.1,0,25.1,2,0,57.7,3,"Scottish National Party","Labour"
"Fareham","E14000699",56.1,3.9,14.3,8.8,0,0,15.4,"Conservative","UKIP"
"Faversham & Mid Kent","E14000700",54.4,3.9,16.2,6.6,0,0,18,"Conservative","UKIP"
"Feltham & Heston","E14000701",29.1,2.8,52.3,3.2,0,0,12.6,"Labour","Conservative"
"Fife North East","S14000049",16.3,3.1,7.7,31.3,0,40.9,0,"Scottish National Party","Liberal Democrat"
"Filton & Bradley Stoke","E14000702",46.7,4.6,26.6,7.3,0,0,14.8,"Conservative","Labour"
"Finchley & Golders Green","E14000703",50.9,2.7,39.7,3.3,0,0,3.4,"Conservative","Labour"
"Folkestone & Hythe","E14000704",47.9,5.4,14.4,8.9,0,0,22.8,"Conservative","UKIP"
"Forest of Dean","E14000705",46.8,5.5,24.6,5.3,0,0,17.8,"Conservative","Labour"
"Fylde","E14000706",49.1,3.2,18.8,3.7,0,0,12.8,"Conservative","Labour"
"Gainsborough","E14000707",52.7,2.6,21.3,6.7,0,0,15.7,"Conservative","Labour"
"Garston & Halewood","E14000708",13.7,3.5,69.1,4.7,0,0,9.2,"Labour","Conservative"
"Gateshead","E14000709",14.5,4.1,56.8,6.8,0,0,17.8,"Labour","UKIP"
"Gedling","E14000710",36.1,3.2,42.3,4,0,0,14.4,"Labour","Conservative"
"Gillingham & Rainham","E14000711",48,2.4,25.6,3.6,0,0,19.5,"Conservative","Labour"
"Glasgow Central","S14000029",6,4,33.1,1.6,0,52.5,2,"Scottish National Party","Labour"
"Glasgow East","S14000030",6,0.9,32.4,0.7,0,56.9,2.6,"Scottish National Party","Labour"
"Glasgow North","S14000031",7.9,6.2,27.9,2.7,0,53.1,1.3,"Scottish National Party","Labour"
"Glasgow North East","S14000032",4.7,1.6,33.7,0.8,0,58.1,0,"Scottish National Party","Labour"
"Glasgow North West","S14000033",8.4,2.7,30.9,2.7,0,54.5,0,"Scottish National Party","Labour"
"Glasgow South","S14000034",9.7,2.9,29.7,2.1,0,54.9,0,"Scottish National Party","Labour"
"Glasgow South West","S14000035",5,1.2,32.8,1,0,57.2,2.4,"Scottish National Party","Labour"
"Glenrothes","S14000036",7.7,0,30.6,1.9,0,59.8,0,"Scottish National Party","Labour"
"Gloucester","E14000712",45.3,2.8,31.6,5.4,0,0,14.3,"Conservative","Labour"
"Gordon","S14000037",11.7,0,5.9,32.7,0,47.7,2,"Scottish National Party","Liberal Democrat"
"Gosport","E14000713",55.3,3.6,14.5,6.9,0,0,19.4,"Conservative","UKIP"
"Gower","W07000046",37.1,2.7,37,3.6,7.1,0,11.2,"Conservative","Labour"
"Grantham & Stamford","E14000714",52.8,3.5,16.9,6.1,0,0,17.5,"Conservative","UKIP"
"Gravesham","E14000715",46.8,2.2,30.1,2.2,0,0,18.6,"Conservative","Labour"
"Great Grimsby","E14000716",26.3,2.3,39.8,5,0,0,25,"Labour","Conservative"
"Great Yarmouth","E14000717",42.9,2.2,29.1,2.3,0,0,23.1,"Conservative","Labour"
"Greenwich & Woolwich","E14000718",26.6,6.4,52.2,5.7,0,0,8.3,"Labour","Conservative"
"Guildford","E14000719",57.1,4.7,12.1,15.5,0,0,8.8,"Conservative","Liberal Democrat"
"Hackney North & Stoke Newington","E14000720",14.7,14.6,62.9,5,0,0,2.2,"Labour","Conservative"
"Hackney South & Shoreditch","E14000721",13.5,11.6,64.4,4.6,0,0,3.8,"Labour","Conservative"
"Halesowen & Rowley Regis","E14000722",43.2,1.9,36.2,2.1,0,0,16.6,"Conservative","Labour"
"Halifax","E14000723",39,2.6,40,3.7,0,0,12.8,"Labour","Conservative"
"Haltemprice & Howden","E14000724",54.2,3.7,21,6.3,0,0,13.9,"Conservative","Labour"
"Halton","E14000725",17.8,2.3,62.8,2.4,0,0,14.1,"Labour","Conservative"
"Hammersmith","E14000726",36.4,4.4,50,4.6,0,0,4.4,"Labour","Conservative"
"Hampshire East","E14000680",60.7,6.1,10.1,11.1,0,0,12,"Conservative","UKIP"
"Hampshire North East","E14000844",65.9,4.4,9.8,10.5,0,0,8.8,"Conservative","Liberal Democrat"
"Hampshire North West","E14000857",58.1,4.6,13.3,9.3,0,0,14.7,"Conservative","UKIP"
"Hampstead & Kilburn","E14000727",42.3,4.4,44.4,5.6,0,0,2.8,"Labour","Conservative"
"Harborough","E14000728",52.7,4.1,15.3,13.4,0,0,14.4,"Conservative","Labour"
